Name,Ranking,Caffeine,Sugar,Notes,Type
Alani Nu Cosmic Stardust,10,200,0,,Energy Drink
Celsius Peach Vibe,10,200,0,white peach,Energy Drink
Alani Nu Winter Wonderland,10,200,0,,Energy Drink
Reign Kiwi Blend,10,200,0,,Energy Drink
Celsius Cola,10,200,0,,Energy Drink
Monster (white),10,160,0,"good, citrus",Energy Drink
Celsius Cherry Cola,9,200,0,tastes better than Coke,Energy Drink
PRIME Hydration Lemon Lime,9,0,2,,Hydration Drink
Red Bull Original,9,114,38,,Energy Drink
Red Bull Peach-Nectarine,9,114,38,,Energy Drink
Red Bull Sugar Free,9,114,0,Sucralose + Acesulfame potassium,Energy Drink
PRIME Energy Lemon Lime,9,200,0,,Energy Drink
Celsius Tropical Vibe (Starfruit Pineapple),9,200,0,,Energy Drink
ALO Allure,9,0,39,aloe vera + mangosteen + mango,Hydration Drink
GT Dave's Kombucha: Guava Goddess,9,12,16,,Kombucha
Alani Nu Juicy Peach,9,200,0,,Energy Drink
Celsius Mango Passionfruit,9,200,0,,Energy Drink
PRIME Energy Original,9,200,0,herbacious? interesting flavor,Energy Drink
C4 Strawberry Guava,9,200,0,,Energy Drink
Red Bull Curuba Elderflower,9,114,38,,Energy Drink
GT Dave Kombucha Synergy: Trilogy,9,12,12,,Kombucha
Red Bull Zero,9,114,0,Monk Fruit + Sucralose,Energy Drink
Moshi White Peach & Yuzu,9,0,3,"fresh, kumquat citrus flavor",Soda
Reign Valencia Orange,9,200,0,tastes almost hydrating,Energy Drink
Celsius Strawberry Passionfruit,9,200,0,,Energy Drink
Celsius Peach Mango Green Tea (flat),8,200,0,hits too slow -> I drink too much,Energy Drink
Alani Nu Breezeberry,8,200,0,,Energy Drink
Celsius Watermelon,8,200,0,,Energy Drink
PRIME Hydration Ice Pop,8,0,2,,Hydration Drink
PRIME Hydration Tropical Punch,8,0,2,,Hydration Drink
PRIME Hydration Blue Raspberry,8,0,2,,Hydration Drink
PRIME Hydration Sticks Tropical Punch,8,0,2,,Hydration Drink
GT Dave's Kombucha: Mystic Mango,8,12,16,,Kombucha
Red Bull Fig Apple,8,114,38,crisp apple,Energy Drink
Sambazon Amazon Energy Açai Berry,8,120,29,,Energy Drink
Celsius Fantasy Vibe,8,200,0,,Energy Drink
PRIME Hydration Strawberry Watermelon,8,0,2,,Hydration Drink
PRIME Energy Tropical Punch,8,200,0,,Energy Drink
PRIME Energy Orange Mango,8,200,0,,Energy Drink
PRIME Energy Blue Raspberry,8,200,0,,Energy Drink
Alani Nu Kiwi Guava,8,200,0,,Energy Drink
Celsius Fuji Apple Pear,8,200,0,,Energy Drink
Red Bull Strawberry Apricot,8,114,38,,Energy Drink
ALO Comfort,8,0,35,aloe vera + watermelon + peach,Hydration Drink
Celsius Oasis Vibe,8,200,0,prickly pear + lime,Energy Drink
Alani Nu Tropsicle,8,200,0,tastes like PRIME Tropical Punch,Energy Drink
Alani Nu Watermelon Wave,8,200,0,,Energy Drink
PRIME Hydration Glowberry,8,0,1,green apple flavor,Hydration Drink
Celsius Raspberry Açai Green Tea (flat),8,200,0,"doesn't hit as hard as fizzy, unpredictable ~ mixed drink",Energy Drink
Celsius Strawberry Guava,8,200,0,,Energy Drink
PRIME Hydration Cherry Freeze,8,0,1,"similar to Tropical Punch, cool bottle tho",Hydration Drink
Celsius Mango Passionfruit,8,200,0,,Energy Drink
GT Dave's Kombucha: Peach Passion,8,12,12,,Kombucha
Bloom Peach Mango,8,180,0,,Energy Drink
GT Dave's Synergy Elderberry Juniper,8,12,12,tastes like flowery blackberry; not sweet,Kombucha
Nixie Cream Soda,8,0,0,,Soda
Reign Citrus Zest,8,200,0,,Energy Drink
Celsius Wild Berry,8,200,0,,Energy Drink
C4 Cherry Berry Limeade,7.5,200,0,slower reaction to caffeine,Energy Drink
Celsius Arctic Vibe,7.5,200,0,,Energy Drink
Alani Nu Witch's Brew,7.5,200,0,tastes like apple,Energy Drink
Celsius Playa Vibe,7.5,200,0,Pina Colada,Energy Drink
Bloom Strawberry Watermelon,7,180,0,"tastes artificial - too strong",Energy Drink
Alani Nu Cherry Slush,7,200,0,"too sweet, cherry Kool-Aid",Energy Drink
PRIME Hydration Orange,7,0,2,,Energy Drink
PRIME Hydration Meta Moon,7,0,2,tastes like Scooby Doo gummies,Hydration Drink
Bloom Cherry Lime,7,180,0,,Energy Drink
Yerba Mate Guayaki Cranberry Pomegranate,7,80,23,,Energy Drink
Yerba Mate Guayaki Enlighten Mint,7,150,28,,Energy Drink
Red Bull Blueberry,7,114,38,,Energy Drink
Red Bull Tropical,7,114,38,,Energy Drink
PRIME Hydration Treasure Hunt (Pink),7,0,2,,Hydration Drink
Celsius Kiwi Guava,7,200,0,,Energy Drink
Celsius Galaxy Vibe (Strawberry Watermelon),7,200,0,not bad,Energy Drink
Alani Nu Orange Kiss,7,200,0,boring candy orange flavor,Energy Drink
Alani Nu Hawaiian Shaved Ice,7,200,0,tastes like Tiki Rum Mai Tai,Energy Drink
ALO Exposed,7,0,32,aloe vera + honey,Hydration Drink
Celsius Orange,7,200,0,looks like orange juice,Energy Drink
PRIME Energy Ice Pop,7,200,0,,Energy Drink
